participant_ID,treatment,part,trial_no,rounds,red_prior_prob,true_guilty_suspect,suspect_accused,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,outcome_6,outcome_7,outcome_8,outcome_9,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,correct_suspect_accused,evidence_round
1,1,1,1,1.0,0.5,1,1,0.0,,,,,,,,,0.0,,,,,,,,,4654.181599999961,13857.273899999967,18608.91849999993,,,,,,,,,1,0
1,1,1,2,3.0,0.1,0,0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,3317.6681000000385,5101.5863000000345,6735.5187000000205,8519.452500000025,11053.676900000064,,,,,,,1,0
1,1,1,3,7.0,0.9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,4786.693599999977,6087.230299999947,7270.959399999988,8504.619299999978,9688.327499999932,10888.72829999995,11989.102499999983,15373.128100000016,17240.329900000033,,,1,7
1,1,1,4,7.0,0.7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,2500.94700000005,5585.367500000169,6168.9610000002085,6769.1453000002575,7269.315400000234,7952.920500000255,8736.594800000266,10353.793200000258,11971.045300000225,,,1,1
1,1,1,5,5.0,0.3,0,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3233.7031999999544,4317.188299999943,5450.9126999999735,6568.3727000000035,7585.324899999999,9135.928699999971,10719.746800000024,,,,,0,0
1,1,1,6,3.0,0.3,0,0,1.0,1.0,1.0,,,,,,,1.0,0.0,0.0,,,,,,,3267.800799999918,4334.83459999993,5018.427799999965,6302.231999999989,7669.378799999901,,,,,,,1,1
1,1,1,7,5.0,0.1,0,0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,2517.224599999852,3567.6155999998273,4084.451699999918,4584.617900000005,5918.424400000034,9119.611499999986,10686.837200000042,,,,,1,1
1,1,1,8,1.0,0.3,1,0,1.0,,,,,,,,,0.0,,,,,,,,,2800.941599999888,4351.453099999818,5885.36989999974,,,,,,,,,0,0
1,1,1,9,9.0,0.7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2387.5145000000493,3437.8624000001396,4088.0951000002265,4588.261400000248,5121.781600000282,5671.982800000299,6172.158700000346,6755.61120000035,7522.551100000384,9106.382400000395,10273.399000000338,1,1
1,1,1,10,7.0,0.3,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2767.6749000001832,3501.2549000002755,4184.8142000001935,4868.371500000214,5518.591000000265,6168.718600000276,6802.266700000223,8419.526200000302,9936.617100000341,,,0,0
